pgn,name
b4 Nh6,"Polish Opening, Karniewski Variation"
b4 Nf6 Bb2 g6,"Polish Opening, King's Indian Variation"
b4 Nf6 Bb2 g6 e4,"Polish Opening, King's Indian Variation, Schiffler Attack"
b4 Nf6 Bb2 g6 c4 Bg7 e3 d6 Nf3 O-O d4,"Polish Opening, King's Indian Variation, Sokolsky Attack"
b4 d5 Bb2 c6 a4,"Polish Opening, Myers Variation"
b4 c6,"Polish Opening, Outflank Variation"
b4 c6 Bb2 a5 b5,"Polish Opening, Outflank Variation, Schuehler Gambit"
b4 e6 Bb2 Nf6 b5 b6,"Polish Opening, Queen's Indian Variation"
b4 e6 Bb2 Nf6 b5 a6,"Polish Opening, Queenside Defense"
b4 e6 Bb2 Nf6 b5 a6 a4 axb5 axb5 Rxa1 Bxa1,"Polish Opening, Rooks Swap Line"
b4 e6 Bb2 Nf6 b5 d5 e3,"Polish Opening, Schiffler-Sokolsky Variation"
b4 c6 Bb2 a5 b5 cxb5 e4,"Polish Opening, Schuehler Gambit"
b4 b5,"Polish Opening, Symmetrical Variation"
b4 e5 Bb2 f6 e4,"Polish Opening, Tartakower Gambit"
b4 e5 Bb2 c5,"Polish Opening, Wolferts Gambit"
c3,Saragossa Opening
Na3,Sodium Attack
Na3 e5 d3 Bxa3 bxa3 d5 e3 c5 Rb1,"Sodium Attack, Celadon Variation"
Na3 g6 g4,"Sodium Attack, Chenoboskion Variation"
Na3 e5 Nc4 Nc6 e4 f5,"Sodium Attack, Durkin Gambit"
d3 e5 Nd2,Valencia Opening
Nc3,Van Geet Opening
a3 e5 Nc3,"Van Geet Opening, Battambang Variation"
Nc3 e5 Nf3 Bc5,"Van Geet Opening, Billockus-Johansen Gambit"
Nc3 d5 f4 e5,"Van Geet Opening, Damhaug Gambit"
Nc3 d5 e4 dxe4 f3,"Van Geet Opening, Dougherty Gambit"
Nc3 d5 e4 dxe4 d3,"Van Geet Opening, Dunst-Perrenet Gambit"
Nc3 c5 b4,"Van Geet Opening, Düsseldorf Gambit"
Nc3 e5 b3 d5 e4 dxe4 d3,"Van Geet Opening, Gladbacher Gambit"
Nc3 d5 e4 dxe4 Bc4,"Van Geet Opening, Hector Gambit"
Nc3 d6 f4 e5 fxe5 Nc6,"Van Geet Opening, Hergert Gambit"
Nc3 e5 e3 d5 Qh5 Be6,"Van Geet Opening, Hulsemann Gambit"
Nc3 d5 f4 d4 Ne4 f5 Nf2 Nf6 Nf3 c5 b4,"Van Geet Opening, Jendrossek Gambit"
Nc3 f5 e4 fxe4 d3,"Van Geet Opening, Kluever Gambit"
Nc3 b5,"Van Geet Opening, Laroche Gambit"
Nc3 e5 e3 d5 Qh5 Nf6,"Van Geet Opening, Liebig Gambit"
Nc3 d5 f4 d4 Ne4 c5,"Van Geet Opening, Melleby Gambit"
Nc3 g6 h4,"Van Geet Opening, Myers Attack"
Nc3 e5 Nf3 Nc6 d4,"Van Geet Opening, Napoleon Attack"
Nc3 c5 d4 cxd4 Qxd4 Nc6 Qh4,"Van Geet Opening, Novosibirsk Variation"
Nc3 e5 f4 exf4 e4,"Van Geet Opening, Nowokunski Gambit"
Nc3 d5 f4 d4 Ne4 e5,"Van Geet Opening, Pfeiffer Gambit"
Nc3 d5 f4 d4 Ne4 e5 Nf3,"Van Geet Opening, Pfeiffer Gambit, Sleipnir Countergambit"
Nc3 e5,"Van Geet Opening, Reversed Nimzowitsch"
Nc3 e5 d4 exd4 Qxd4 Nc6 Qa4,"Van Geet Opening, Reversed Scandinavian"
Nc3 c5 Nf3 Nc6 d4 cxd4 Nxd4,"Van Geet Opening, Sicilian Two Knights"
Nc3 d5 e3 e5 d4 Bb4,"Van Geet Opening, Sleipnir Gambit"
Nc3 c5 Rb1,"Van Geet Opening, Twyble Attack"
Nc3 Nf6 g4,"Van Geet Opening, Tübingen Gambit"
Nc3 d5 d3 Nf6 g3,"Van Geet Opening, Venezolana Variation"
Nc3 d5 f4 g5,"Van Geet Opening, Warsteiner Gambit"
e3,Van't Kruijs Opening
e3 e5 Bc4 b5 Bb3,"Van't Kruijs Opening, Bouncing Bishop Variation"
e3 e5 Nc3 Nf6 f4 exf4 Nf3,"Van't Kruijs Opening, Keoni-Hiva Gambit, Akahi Variation"
e3 e5 Nc3 Nc6 f4 exf4 Nf3,"Van't Kruijs Opening, Keoni-Hiva Gambit, Alua Variation"
e3 e5 Nc3 d5 f4 exf4 Nf3,"Van't Kruijs Opening, Keoni-Hiva Gambit, Ekolu Variation"
a4,Ware Opening
