pgn,name
e4 Nc6 d4 e5 dxe5 Nxe5 f4 Nc6,"Nimzowitsch Defense, Kennedy Variation, Riemann Defense"
e4 Nc6 d4 e5 dxe5 d6,"Nimzowitsch Defense, Kennedy Variation, de Smet Gambit"
e4 Nc6 d4 d6,"Nimzowitsch Defense, Mikenas Variation"
e4 Nc6 d4 f6,"Nimzowitsch Defense, Neo-Mongoloid Defense"
e4 Nc6 Nc3 g6,"Nimzowitsch Defense, Pirc Connection"
e4 Nc6 Bb5,"Nimzowitsch Defense, Pseudo-Spanish Variation"
e4 Nc6 d4 d5,"Nimzowitsch Defense, Scandinavian Variation"
e4 Nc6 d4 d5 exd5 Nb4,"Nimzowitsch Defense, Scandinavian Variation, Aachen Gambit"
e4 Nc6 d4 d5 e5,"Nimzowitsch Defense, Scandinavian Variation, Advance Variation"
e4 Nc6 d4 d5 Nc3,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation"
e4 Nc6 d4 d5 Nc3 dxe4,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation"
e4 Nc6 d4 d5 Nc3 a6,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Brandics Gambit"
e4 Nc6 d4 d5 Nc3 g6,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Erben Gambit"
e4 Nc6 d4 d5 Nc3 e5,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Heinola-Deppe Gambit"
e4 Nc6 d4 d5 Nc3 dxe4 d5 Ne5,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Nimzowitsch Gambit"
e4 Nc6 d4 d5 Nc3 dxe4 d5 Nb8 f3,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Richter Gambit"
e4 Nc6 d4 d5 Nc3 Nf6,"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Vehre Variation"
e4 Nc6 d4 d5 exd5 Qxd5,"Nimzowitsch Defense, Scandinavian Variation, Exchange Variation"
e4 Nc6 d4 d5 exd5 Qxd5 Nc3,"Nimzowitsch Defense, Scandinavian Variation, Exchange Variation, Marshall Gambit"
e4 Nc6 b4,"Nimzowitsch Defense, Wheeler Gambit"
e4 Nc6 Nf3 d6,"Nimzowitsch Defense, Williams Variation"
e4 Nc6 d4 a6,"Nimzowitsch Defense, Woodchuck Variation"
e4 b6,Owen Defense
e4 b6 d4 Ba6,"Owen Defense, Guatemala Defense"
e4 b6 d4 c5 dxc5 Nc6,"Owen Defense, Hekili-Loa Gambit"
e4 b6 d4 Bb7 Bd3 f5 exf5 Bxg2 Qh5+ g6,"Owen Defense, Matovinsky Gambit"
e4 b6 d4 Bb7 Bg5,"Owen Defense, Naselwaus Gambit"
e4 b6 d4 Bb7 Nf3,"Owen Defense, Smith Gambit"
e4 f6 d4 b6 c4 Bb7,"Owen Defense, Unicorn Variation"
e4 b6 d4 Bb7 f3 e5,"Owen Defense, Wind Gambit"
e4 d6,Pirc Defense
e4 d6 d4,Pirc Defense
e4 d6 d4 Nf6,Pirc Defense
e4 d6 d4 Nf6 Nf3,"Pirc Defense, Roscher Gambit"
e4 d6 d4 Nd7,"Rat Defense, Antal Defense"
e4 d6 f4 d5 exd5 Nf6,"Rat Defense, Fuller Gambit"
e4 d6 f4,"Rat Defense, Harmonist"
e4 d6 h4,"Rat Defense, Petruccioli Attack"
e4 d6 g4,"Rat Defense, Spike Attack"
e4 a6,St. George Defense
e4 a6 d4 b5 Nf3 Bb7 Bd3 e6,"St. George Defense, Polish Variation"
e4 a6 d4 b5 Nf3 Bb7 Bd3 d6 O-O g6 c3 Bg7,"St. George Defense, San Jorge Variation"
e4 a6 d4 e5,"St. George Defense, Zilbermints Gambit"
e4 Nc6 d4 d5 Nc3 dxe4 d5,"Van Geet Opening, Berlin Gambit"
e4 a5,Ware Defense
e4 a5 d4 Nc6,"Ware Defense, Snagglepuss Defense"
e4 d5,Scandinavian Defense
e4 d5 b3,Scandinavian Defense
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5,"Scandinavian Defense, Anderssen Counterattack"
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5 Nf3 Bg4,"Scandinavian Defense, Anderssen Counterattack, Collijn Variation"
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5 Nf3,"Scandinavian Defense, Anderssen Counterattack, Goteborg System"
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5 dxe5 Nc6 Nf3 Bb4 Bd2,"Scandinavian Defense, Anderssen Counterattack, Orthodox Attack"
e4 d5 exd5 c6 dxc6 Nxc6,"Scandinavian Defense, Blackburne Gambit"
e4 d5 exd5 c6,"Scandinavian Defense, Blackburne-Kloosterboer Gambit"
e4 d5 exd5 e5 dxe6 Bxe6,"Scandinavian Defense, Boehnke Gambit"
e4 d5 exd5 Qxd5 Nc3 Qd6 d4 Nf6 Nf3 a6,"Scandinavian Defense, Bronstein Variation"
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bf5,"Scandinavian Defense, Classical Variation"
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bf5 Ne5 c6 g4,"Scandinavian Defense, Grünfeld Variation"
e4 d5 exd5 Qxd5 Nc3 Qd6,"Scandinavian Defense, Gubinsky-Melts Defense"
e4 d5 exd5 Nf6 c4 e6,"Scandinavian Defense, Icelandic-Palme Gambit"
e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb4,"Scandinavian Defense, Kiel Variation"
e4 d5 exd5 c6 dxc6 e5,"Scandinavian Defense, Kloosterboer Gambit"
e4 d5 exd5 Nf6 d4 c6 dxc6 e5,"Scandinavian Defense, Kádas Gambit"
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bg4 h3,"Scandinavian Defense, Lasker Variation"
e4 d5 exd5 Qxd5 Nc3 Qa5,"Scandinavian Defense, Main Line"
e4 d5 exd5 Qxd5 Nc3 Qa5 b4,"Scandinavian Defense, Main Line, Leonhardt Gambit"
e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6,"Scandinavian Defense, Main Line, Mieses Variation"
e4 d5 exd5 Nf6 d4 Nxd5,"Scandinavian Defense, Marshall Variation"
e4 d5 exd5 Qxd5,"Scandinavian Defense, Mieses-Kotroc Variation"
e4 d5 exd5 Nf6,"Scandinavian Defense, Modern Variation"
e4 d5 exd5 Nf6 d4,"Scandinavian Defense, Modern Variation"
e4 d5 exd5 Nf6 d4 Nxd5 Nf3 Bg4,"Scandinavian Defense, Modern Variation, Gipslis Variation"
e4 d5 exd5 Nf6 d4 g6 c4 b5,"Scandinavian Defense, Modern Variation, Wing Gambit"
e4 d5 exd5 Nf6 c4 c6,"Scandinavian Defense, Panov Transfer"
e4 d5 exd5 Nf6 d4 Bg4,"Scandinavian Defense, Portuguese Gambit"
e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 c4,"Scandinavian Defense, Portuguese Gambit, Banker Variation"
e4 d5 exd5 Nf6 d4 Bg4 Nf3,"Scandinavian Defense, Portuguese Gambit, Classical Variation"
e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 g4,"Scandinavian Defense, Portuguese Gambit, Correspondence Refutation"
e4 d5 exd5 Nf6 d4 Bg4 Bb5+ c6,"Scandinavian Defense, Portuguese Gambit, Elbow Variation"
e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 Bb5+ Nbd7 c4,"Scandinavian Defense, Portuguese Gambit, Jadoul Variation"
e4 d5 exd5 Nf6 d4 Bg4 Bb5+ Nbd7 Be2,"Scandinavian Defense, Portuguese Gambit, Lusophobe Variation"
e4 d5 exd5 Nf6 d4 Bg4 f3 Bf5 Bb5+ Nbd7 Nc3,"Scandinavian Defense, Portuguese Gambit, Melbourne Shuffle Variation"
e4 d5 exd5 Nf6 d4 Bg4 Be2,"Scandinavian Defense, Portuguese Gambit, Wuss Variation"
e4 d5 exd5 Nf6 d4 Nxd5 Nf3 g6,"Scandinavian Defense, Richter Variation"
e4 d5 exd5 Nf6 d4 g6,"Scandinavian Defense, Richter Variation"
e4 d5 exd5 Qxd5 Nc3 Qd6 d4 c6,"Scandinavian Defense, Schiller-Pytel Variation"
e4 d5 exd5 Qxd5 Nc3 Qd6 d4 Nf6 Bc4 c6 Nge2 Bf5 Bf4 Qb4,"Scandinavian Defense, Schiller-Pytel Variation, Modern Variation"
e4 d5 exd5 Qxd5 Nc3 Qd8,"Scandinavian Defense, Valencian Variation"
e4 d5 exd5 Qxd5 Nc3 Qd8 d4 Nf6 Nf3 c6,"Scandinavian Defense, Valencian Variation, Ilundain Variation"
e4 d5 exd5 Qxd5 Nc3 Qd8 d4 Nf6 Nf3 Bg4,"Scandinavian Defense, Valencian Variation, Main Line"
e4 d5 b4,"Scandinavian Defense, Zilbermints Gambit"
e4 d5 Nc3 dxe4 Nxe4 e5,"Van Geet Opening, Grünfeld Defense"
e4 Nf6,Alekhine Defense
e4 Nf6 e5 Ng8,"Alekhine Defense, Brooklyn Variation"
e4 Nf6 e5 Ng8 d4 f5,"Alekhine Defense, Brooklyn Variation, Everglades Variation"
e4 Nf6 e5 Nd5 Na3,"Alekhine Defense, Buckley Attack"
e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4 e6 Nc3,"Alekhine Defense, Hunt Variation, Lasker Simul Gambit"
e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Nc3 Nxc3 dxc3 d6 Bg5,"Alekhine Defense, Hunt Variation, Matsukevich Gambit"
e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4 e6 Nc3 d6 Nxd5 exd5 Bxd5,"Alekhine Defense, Hunt Variation, Mikenas Gambit"
e4 Nf6 e5 Nd5 Bc4 Nb6 Bb3 c5 d3,"Alekhine Defense, Kmoch Variation"
e4 Nf6 Bc4,"Alekhine Defense, Krejcik Variation"
e4 Nf6 Bc4 Nxe4 Bxf7+,"Alekhine Defense, Krejcik Variation, Krejcik Gambit"
e4 Nf6 d3,"Alekhine Defense, Maróczy Variation"
e4 Nf6 e5 Ne4,"Alekhine Defense, Mokele Mbembe"
e4 Nf6 e5 Ne4 d4 f6,"Alekhine Defense, Mokele Mbembe, Modern Line"
e4 Nf6 e5 Ne4 d4 e6,"Alekhine Defense, Mokele Mbembe, Vavra Defense"
e4 Nf6 e5 Nd5,"Alekhine Defense, Normal Variation"
e4 Nf6 Nc3 d5,"Alekhine Defense, Scandinavian Variation"
e4 Nf6 Nc3 d5 exd5 c6,"Alekhine Defense, Scandinavian Variation, Geschev Gambit"
e4 Nf6 Nc3 d5 d3 dxe4 Bg5,"Alekhine Defense, Scandinavian Variation, Myers Gambit"
e4 Nf6 Nc3 d5 e5 Nfd7 e6,"Alekhine Defense, Spielmann Gambit"
e4 Nf6 e5 Nd5 c4 Nb6 b3,"Alekhine Defense, Steiner Variation"
e4 Nf6 e5 Nd5 Nc3,"Alekhine Defense, Sämisch Attack"
e4 Nf6 e5 Nd5 c4 Nf4,"Alekhine Defense, The Squirrel"
e4 Nf6 e5 Nd5 c4,"Alekhine Defense, Two Pawns Attack"
e4 Nf6 e5 Nd5 c4 Nb6 c5,"Alekhine Defense, Two Pawns Attack, Lasker Variation"
e4 Nf6 e5 Nd5 c4 Nb6 c5 Nd5 Bc4 e6 Nc3 d6,"Alekhine Defense, Two Pawns Attack, Mikenas Variation"
e4 Nf6 e5 Nd5 c4 Nb6 a4,"Alekhine Defense, Two Pawns Attack, Tate Variation"
e4 Nf6 e5 Nd5 b3,"Alekhine Defense, Welling Variation"
e4 Nf6 e5 Nd5 d4,Alekhine Defense
e4 Nf6 e5 Nd5 d4 d6,Alekhine Defense
e4 Nf6 e5 Nd5 d4 d6 c4,Alekhine Defense
e4 Nf6 e5 Nd5 d4 d6 Bc4,"Alekhine Defense, Balogh Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6,"Alekhine Defense, Exchange Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 cxd6 Nc3 g6 h3 Bg7 Nf3 O-O Be2 Nc6 O-O Bf5 Bf4,"Alekhine Defense, Exchange Variation, Karpov Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 cxd6 Nc3 g6 Be3 Bg7 Rc1 O-O b3,"Alekhine Defense, Exchange Variation, Voronezh Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4,"Alekhine Defense, Four Pawns Attack"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 g5,"Alekhine Defense, Four Pawns Attack, Cambridge Gambit"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 g6,"Alekhine Defense, Four Pawns Attack, Fianchetto Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Nc6 Nf3 Bg4 e6 fxe6 c5,"Alekhine Defense, Four Pawns Attack, Ilyin-Zhenevsky Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Bf5 Nc3 e6 Nf3 Be7 Be2 O-O O-O f6,"Alekhine Defense, Four Pawns Attack, Korchnoi Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Nc6 Be3,"Alekhine Defense, Four Pawns Attack, Main Line"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 dxe5 fxe5 Nc6 Be3 Bf5 Nc3 e6 Nf3 Qd7 Be2 O-O-O O-O Be7,"Alekhine Defense, Four Pawns Attack, Tartakower Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 f4 Bf5,"Alekhine Defense, Four Pawns Attack, Trifunovic Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 c5,"Alekhine Defense, Hunt Variation"
e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 Nf3 Bg4 Be2,"Alekhine Defense, Modern Variation, Alekhine Gambit"
e4 Nf6 e5 Nd5 d4 b5,"Alekhine Defense, O'Sullivan Gambit"
e4 Nf6 e5 Nd5 d4 d6 Nf3,"Alekhine Defense, Modern Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 g6,"Alekhine Defense, Modern Variation, Alburt Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 g6 Bc4 Nb6 Bb3 Bg7 a4,"Alekhine Defense, Modern Variation, Keres Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 dxe5,"Alekhine Defense, Modern Variation, Larsen Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 Nc6,"Alekhine Defense, Modern Variation, Larsen-Haakert Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 Nb6,"Alekhine Defense, Modern Variation, Schmid Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 c4,"Alekhine Defense, Modern Variation, Alekhine Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 Be2 c6,"Alekhine Defense, Modern Variation, Flohr Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4,"Alekhine Defense, Modern Variation, Main Line"
e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 h3,"Alekhine Defense, Modern Variation, Panov Variation"
e4 Nf6 e5 Nd5 d4 d6 Nf3 Bg4 c4 Nb6 d5,"Alekhine Defense, Modern Variation, Vitolins Attack"
e4 g6,Modern Defense
e4 g6 d4 Bg7,Modern Defense
e4 g6 d4 Bg7 Nc3 c6 Bc4 d6 Qe2,"Modern Defense, Anti-Modern"
e4 g6 d4 Bg7 Bc4,"Modern Defense, Bishop Attack"
e4 g6 d4 Bg7 Bc4 b5,"Modern Defense, Bishop Attack, Bücker Gambit"
e4 g6 Bc4 Bg7 Qf3 e6 d4 Bxd4,"Modern Defense, Bishop Attack, Monkey's Bum"
e4 g6 d4 Bg7 c4 d5 exd5 c6 dxc6 Bxd4,"Modern Defense, Dunworthy Variation"
e4 g6 d4 f5,"Modern Defense, Fianchetto Gambit"
e4 g6 d4 Bg7 Nc3 c6 f4 d5 e5 h5,"Modern Defense, Gurgenidze Defense"
e4 g6 d4 Bg7 Nc3 d5,"Modern Defense, Lizard Defense, Mittenberger Gambit"
e4 g6 d4 Nh6 Nc3 f5 Bxh6 Bxh6 exf5 O-O,"Modern Defense, Masur Gambit"
e4 g6 d4 Bg7 Nc3 c5,"Modern Defense, Modern Pterodactyl"
e4 g6 d4 Bg7 Nc3 b6,"Modern Defense, Mongredien Defense, with Nc3"
e4 g6 d4 Bg7 Nf3 b6,"Modern Defense, Mongredien Defense, with Nf3"
e4 g6 d4 Nf6,"Modern Defense, Norwegian Defense"
e4 g6 d4 Nf6 e5 Nh5 Be2 d6,"Modern Defense, Norwegian Defense, Norwegian Gambit"
e4 g6 d4 Bg7 Nc3 d6 f4,"Modern Defense, Pseudo-Austrian Attack"
e4 g6 d4 Bg7 c4 c5 Nf3 d6 Be2 Qa5+,"Modern Defense, Semi-Averbakh Variation, Pterodactyl Variation Declined"
e4 g6 d4 Bg7 Nc3 d6,"Modern Defense, Standard Defense"
e4 g6 d4 Bg7 Nc3,"Modern Defense, Standard Line"
e4 g6 d4 Bg7 f4,"Modern Defense, Three Pawns Attack"
e4 g6 d4 Bg7 Nc3 d6 Nf3,"Modern Defense, Two Knights Variation"
e4 g6 d4 Bg7 Nc3 c6 Nf3 d6,"Modern Defense, Two Knights Variation, Suttles Variation"
e4 g6 d4 Bg7 Nc3 d6 Nf3 c6 Bg5 Qb6 Qd2 Qxb2,"Modern Defense, Two Knights Variation, Suttles Variation, Tal Gambit"
e4 g6 d4 Bg7 Bd2,"Modern Defense, Westermann Gambit"
e4 g6 d4 Bg7 Bd3,"Modern Defense, Wind Gambit"
e4 g6 d4 Bg7 f4 c5 Nf3 Qa5+,"Pterodactyl Defense, Austrian, Austriadactylus Western"
e4 g6 Nc3 Bg7 f4 c5 Nf3 Qa5,"Pterodactyl Defense, Austrian, Grand Prix Pterodactyl"
e4 g6 d4 Bg7 f4 c5 c3 Qa5,"Pterodactyl Defense, Austrian, Pteranodon"
e4 g6 d4 Bg7 c4 c5 Nc3 d6 Be3 Qa5,"Pterodactyl Defense, Central, Anhanguera"
e4 g6 d4 Bg7 c4 c5 d5 d6 Nc3 Qa5,"Pterodactyl Defense, Central, Benoni Quetzalcoatlus"
e4 g6 d4 Bg7 c4 c5 Nc3 d6 dxc5 Qa5,"Pterodactyl Defense, Central, Quetzalcoatlus Gambit"
e4 g6 d4 Bg7 Nc3 c5 Be3,"Pterodactyl Defense, Eastern, Anhanguera"
d4 g6 e4 Bg7 Nc3 c5 d5,"Pterodactyl Defense, Eastern, Benoni"
e4 g6 d4 Bg7 Nc3 c5 d5 Bxc3+ bxc3 Qa5,"Pterodactyl Defense, Eastern, Benoni Pteranodon"
d4 g6 Nc3 Bg7 e4 c5 d5 Qa5,"Pterodactyl Defense, Eastern, Benoni Pterodactyl"
e4 g6 d4 Bg7 Nc3 c5 dxc5 Bxc3+ bxc3 Qa5,"Pterodactyl Defense, Eastern, Pteranodon"
e4 g6 d4 Bg7 Nc3 c5 dxc5 Qa5,"Pterodactyl Defense, Eastern, Rhamphorhynchus"
e4 g6 d4 Bg7 g3 c5 Nf3 Qa5+,"Pterodactyl Defense, Fianchetto, King Pterodactyl"
e4 g6 d4 Bg7 g3 c5 dxc5 Qa5+,"Pterodactyl Defense, Fianchetto, Rhamphorhynchus"
e4 g6 d4 Bg7 Nc3 c5 Nf3 Qa5 Be2 d6,"Pterodactyl Defense, Sicilian, Quetzalcoatlus"
e4 g6 d4 Bg7 Nc3 c5 Nf3 Qa5 Bc4,"Pterodactyl Defense, Sicilian, Siroccopteryx"
e4 g6 d4 Bg7 Nf3 c5 Be3 Qa5+,"Pterodactyl Defense, Western, Anhanguera"
e4 g6 Nf3 Bg7 d4 c5 Bc4 cxd4 Nxd4 Qa5+,"Pterodactyl Defense, Western, Siroccopteryx"
e4 g6 d4 d6 Nc3 c6,"Rat Defense, Accelerated Gurgenidze"
e4 d6 d4 Nf6 Nc3 c6,Czech Defense
e4 d6 d4 e5,"King's Pawn Game, Maróczy Defense"
e4 d6 d4 Nf6 Nc3 Nbd7,Lion Defense
e4 d6 d4 Nf6 Nc3 Nbd7 f4,"Lion Defense, Anti-Philidor"
e4 d6 d4 Nf6 Nc3 Nbd7 f4 e5,"Lion Defense, Anti-Philidor, Lion's Cave"
e4 d6 d4 Nf6 Nc3 Nbd7 f4 e5 Nf3 exd4 Qxd4 c6 Bc4 d5,"Lion Defense, Anti-Philidor, Lion's Cave, Lion Claw Gambit"
e4 d6 d4 Nf6 Nc3 Nbd7 g4,"Lion Defense, Bayonet Attack"
e4 g6 d4 Bg7 Nf3 d6 c3,"Modern Defense, Geller's System"
e4 d6 d4 Nf6 Nc3 g6,Pirc Defense
e4 d6 d4 Nf6 Nc3 g6 Be3 c6 Qd2,"Pirc Defense, 150 Attack"
e4 d6 d4 Nf6 Nc3 g6 Be3 c6 Qd2 Bg4,"Pirc Defense, 150 Attack, Inner Doll Defense"
e4 d6 d4 Nf6 Nc3 g6 Be3 c6 h3,"Pirc Defense, 150 Attack, Sveshnikov-Jansa Attack"
e4 d6 d4 Nf6 Nc3 g6 Be2 Bg7 h4,"Pirc Defense, Bayonet Attack"
e4 d6 d4 Nf6 Nc3 g6 Bg5,"Pirc Defense, Byrne Variation"
e4 d6 d4 Nf6 Nc3 g6 Be2 Bg7 g4,"Pirc Defense, Chinese Variation"
e4 d6 d4 Nf6 Nc3 g6 Bc4,"Pirc Defense, Kholmov System"
e4 d6 d4 Nf6 Nc3 g6 g3,"Pirc Defense, Sveshnikov System"
e4 d6 d4 Nf6 Nc3 g6 Nf3,"Pirc Defense, Classical Variation"
e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7,"Pirc Defense, Classical Variation"
e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 Be2,"Pirc Defense, Classical Variation, Quiet System"
e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 Be2 O-O O-O Nc6,"Pirc Defense, Classical Variation, Quiet System, Chigorin Line"
e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 Be2 O-O O-O c6,"Pirc Defense, Classical Variation, Quiet System, Czech Defense"
e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 Be2 O-O O-O Bg4,"Pirc Defense, Classical Variation, Quiet System, Parma Defense"
e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 h3,"Pirc Defense, Classical Variation, Schlechter Variation"
e4 d6 d4 Nf6 Nc3 g6 f4,"Pirc Defense, Austrian Attack"
e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O,"Pirc Defense, Austrian Attack"
e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 c5,"Pirc Defense, Austrian Attack, Dragon Formation"
e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O Be3,"Pirc Defense, Austrian Attack, Kurajica Variation"
e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Bc4,"Pirc Defense, Austrian Attack, Ljubojevic Variation"
e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O e5,"Pirc Defense, Austrian Attack, Unzicker Attack"
e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O e5 Nfd7 h4,"Pirc Defense, Austrian Attack, Unzicker Attack, Bronstein Variation"
e4 d6 d4 Nf6 Nc3 g6 f4 Bg7 Nf3 O-O Bd3,"Pirc Defense, Austrian Attack, Weiss Variation"
e4 c6,Caro-Kann Defense
e4 c6 Nc3,Caro-Kann Defense
e4 c6 Nc3 d5,Caro-Kann Defense
e4 c6 c4,"Caro-Kann Defense, Accelerated Panov Attack"
e4 c6 c4 d5,"Caro-Kann Defense, Accelerated Panov Attack"
e4 c6 c4 d5 exd5 cxd5 cxd5 Nf6,"Caro-Kann Defense, Accelerated Panov Attack, Modern Variation"
e4 c6 c4 e5,"Caro-Kann Defense, Accelerated Panov Attack, Open Variation"
e4 c6 c4 d5 exd5 Qxd5,"Caro-Kann Defense, Accelerated Panov Attack, Pseudo-Scandinavian"
e4 c6 c4 d5 cxd5 cxd5 Qb3,"Caro-Kann Defense, Accelerated Panov Attack, Van Weersel Attack"
e4 c6 Nf3 d5 exd5 cxd5 Ne5,"Caro-Kann Defense, Apocalypse Attack"
e4 c6 d3,"Caro-Kann Defense, Breyer Variation"
e4 c6 d3 d5 Nd2 g6 Ngf3 Bg7 g3 e5 Bg2 Ne7 O-O O-O b4,"Caro-Kann Defense, Breyer Variation, Stein Attack"
e4 c6 Nf3 d5 d3 dxe4 Ng5,"Caro-Kann Defense, Dinic Gambit"
e4 c6 Nf3 d5 d3,"Caro-Kann Defense, Endgame Offer"
e4 c6 Nf3 d5 d3 dxe4 dxe4 Qxd1+ Kxd1,"Caro-Kann Defense, Endgame Variation"
e4 c6 b3,"Caro-Kann Defense, Euwe Attack"
e4 c6 Nc3 d5 Qf3,"Caro-Kann Defense, Goldman Variation"
e4 c6 Nc3 d5 Nf3 dxe4 Ng5,"Caro-Kann Defense, Hector Gambit"
e4 c6 Bc4,"Caro-Kann Defense, Hillbilly Attack"
e4 c6 Bc4 d5 Bb3 dxe4 Qh5,"Caro-Kann Defense, Hillbilly Attack, Schaeffer Gambit"
e4 c6 b4,"Caro-Kann Defense, Labahn Attack"
e4 c6 b4 d5 b5,"Caro-Kann Defense, Labahn Attack, Double Gambit"
e4 c6 b4 e5 Bb2,"Caro-Kann Defense, Labahn Attack, Polish Variation"
e4 c6 Nc3 d5 d3 dxe4 Bg5,"Caro-Kann Defense, Scorpion-Horus Gambit"
e4 c6 g4,"Caro-Kann Defense, Spike Variation"
e4 c6 g4 d5 Nc3 dxe4 d3,"Caro-Kann Defense, Spike Variation, Scorpion-Grob Gambit"
e4 c6 Nc3 d5 h3,"Caro-Kann Defense, St. Patrick's Attack"
e4 c6 c4 d5 e5,"Caro-Kann Defense, Toikkanen Gambit"
e4 c6 Nc3 d5 Nf3,"Caro-Kann Defense, Two Knights Attack"
e4 c6 Nc3 d5 Nf3 Bg4,"Caro-Kann Defense, Two Knights Attack, Mindeno Variation"
e4 c6 Nc3 d5 Nf3 Bg4 h3 Bxf3,"Caro-Kann Defense, Two Knights Attack, Mindeno Variation, Exchange Line"
e4 c6 Nc3 d5 Nf3 Bg4 h3 Bh5,"Caro-Kann Defense, Two Knights Attack, Mindeno Variation, Retreat Line"
e4 c6 d4,Caro-Kann Defense
e4 c6 d4 d5,Caro-Kann Defense
e4 c6 d4 d5 e5,"Caro-Kann Defense, Advance Variation"
e4 c6 d4 d5 e5 Bf5 g4,"Caro-Kann Defense, Advance Variation, Bayonet Attack"
e4 c6 d4 d5 e5 c5,"Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense"
e4 c6 d4 d5 e5 Bf5 Ne2,"Caro-Kann Defense, Advance Variation, Bronstein Variation"
e4 c6 d4 d5 e5 Bf5 b4,"Caro-Kann Defense, Advance Variation, Prins Attack"
e4 c6 d4 d5 e5 Bf5 Nf3,"Caro-Kann Defense, Advance Variation, Short Variation"
e4 c6 d4 d5 e5 Bf5 h4,"Caro-Kann Defense, Advance Variation, Tal Variation"
e4 c6 d4 d5 e5 Bf5 Nc3,"Caro-Kann Defense, Advance Variation, Van der Wiel Attack"
e4 c6 d4 d5 e5 Bf5 Nc3 e6 g4 Bg6 Nge2 c5 h4,"Caro-Kann Defense, Advance Variation, Van der Wiel Attack"
e4 c6 d4 d5 e5 Bf5 Nc3 Qb6,"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Dreyev Defense"
